REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,PWRCCGKENXX00,GASKEN,1,2020,2.55
GLOBAL,PWRCCGKENXX00,GASKEN,1,2021,2.55
GLOBAL,PWRCCGKENXX00,GASKEN,1,2022,2.55
GLOBAL,PWRCCGKENXX00,GASKEN,1,2023,2.55
GLOBAL,PWRCCGKENXX00,GASKEN,1,2024,2.55
GLOBAL,PWRCCGKENXX00,GASKEN,1,2025,2.55
GLOBAL,PWRCCGKENXX00,GASKEN,1,2026,2.55
GLOBAL,PWRCCGKENXX00,GASKEN,1,2027,2.55
GLOBAL,PWRCCGKENXX00,GASKEN,1,2028,2.55
GLOBAL,PWRCCGKENXX00,GASKEN,1,2029,2.55
GLOBAL,PWRCCGKENXX00,GASKEN,1,2030,2.55
GLOBAL,PWRCCGKENXX00,GASKEN,1,2031,2.55
GLOBAL,PWRCCGKENXX00,GASKEN,1,2032,2.55
GLOBAL,PWRCCGKENXX00,GASKEN,1,2033,2.55
GLOBAL,PWRCCGKENXX00,GASKEN,1,2034,2.55
GLOBAL,PWRCCGKENXX00,GASKEN,1,2035,2.55
GLOBAL,PWRCCGKENXX00,GASKEN,1,2036,2.55
GLOBAL,PWRCCGKENXX00,GASKEN,1,2037,2.55
GLOBAL,PWRCCGKENXX00,GASKEN,1,2038,2.55
GLOBAL,PWRCCGKENXX00,GASKEN,1,2039,2.55
GLOBAL,PWRCCGKENXX00,GASKEN,1,2040,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2020,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2021,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2022,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2023,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2024,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2025,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2026,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2027,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2028,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2029,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2030,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2031,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2032,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2033,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2034,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2035,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2036,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2037,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2038,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2039,2.55
GLOBAL,PWRCCGKENXX00,GASINT,2,2040,2.55
